antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"time_of_day_Evening, weather_bucket_LowVisibility",congestion_level_Medium,0.010918052988293283,0.25000616142945165,0.008207024029574862,0.7516930022573365,3.006697906801205,1.0,0.005477443511688305,3.0204297316977557,0.6747764658907888,0.03247513165593914,0.668921283118906,0.39226014466179127
"time_of_day_Evening, weather_bucket_LowVisibility, weekday_type_Weekday",congestion_level_Medium,0.00793592113370302,0.25000616142945165,0.005890326555760937,0.7422360248447205,2.968870929423751,1.0,0.003906297375716983,2.9096146508399587,0.6684765926643687,0.02336951207587758,0.6563118763127908,0.3828983751983855
"time_of_day_Evening Rush, weekday_type_Weekend",congestion_level_High,0.04727048675292668,0.25003080714725817,0.03482439926062847,0.7367049009384776,2.9464565160747886,1.0,0.023005321303550437,2.84839784532982,0.6933859718681775,0.13267605633802818,0.6489254471107042,0.4379926673248327
"time_of_day_Morning Rush, weather_bucket_LowVisibility, weekday_type_Weekend",congestion_level_Medium,0.007492298213185459,0.25000616142945165,0.005077017868145409,0.6776315789473684,2.710459514569151,1.0,0.0032038971515821733,2.3265114992392517,0.6358226414102706,0.020113259129076348,0.5701719074558664,0.3489695749626432
"time_of_day_Evening Rush, weather_bucket_Precipitation, weekday_type_Weekend",congestion_level_High,0.008330252618607517,0.25003080714725817,0.005619223659889094,0.6745562130177515,2.6978923945978575,1.0,0.003536403873918096,2.3044507925838795,0.6346268970385553,0.022233057045343733,0.5660571259676394,0.34851516910128577
"time_of_day_Morning Rush, weather_bucket_Clear, weekday_type_Weekend",congestion_level_Medium,0.015822550831792976,0.25000616142945165,0.010449784349969193,0.660436137071651,2.641679442200536,1.0,0.006494049152490254,2.2086974512031743,0.6314439894370241,0.04091874155568423,0.5472444632671368,0.35111712216358576
"time_of_day_Morning Rush, weekday_type_Weekend",congestion_level_Medium,0.04724584103512015,0.25000616142945165,0.030363524337646334,0.6426708398539385,2.5706200046405314,1.0,0.018551772976949876,2.098887866481374,0.641286929739514,0.11376858435681965,0.5235572057136983,0.38206097197744243
"time_of_day_Midday, weather_bucket_LowVisibility",congestion_level_High,0.018188539741219964,0.25003080714725817,0.011534195933456563,0.6341463414634146,2.5362728245320896,1.0,0.006986500661129352,2.0499157937974943,0.6169419229514116,0.04493518963034085,0.5121750839591865,0.3401387202634964
"time_of_day_Morning Rush, weather_bucket_LowVisibility",congestion_level_Severe,0.027726432532347505,0.24995686999383857,0.01747381392483056,0.6302222222222222,2.5213238677446923,1.0,0.010543401632949638,2.028361829944547,0.6205897021993166,0.06715286986171623,0.5069913142531681,0.35006476916672147
"time_of_day_Morning Rush, weather_bucket_Clouds, weekday_type_Weekend",congestion_level_Medium,0.015378927911275415,0.25000616142945165,0.009685767097966728,0.6298076923076923,2.519168682510313,1.0,0.0058409403639685074,2.02595738211265,0.6124626713525596,0.03787951807228915,0.5064062014190994,0.3342749029361805
"time_of_day_Midday, weather_bucket_Precipitation",congestion_level_High,0.04640788662969809,0.25003080714725817,0.02873690696241528,0.6192246415294742,2.4765933790101937,1.0,0.017133505610393417,1.9695843656090835,0.6252353990941169,0.10734671331246547,0.4922786667781273,0.3670790531452201
"time_of_day_Midday, weather_bucket_LowVisibility, weekday_type_Weekday",congestion_level_High,0.013160813308687616,0.25003080714725817,0.007886629698089957,0.5992509363295879,2.3967084023236107,1.0,0.004596020923804414,1.87141845319329,0.5905329849404359,0.030891012646008298,0.46564596587489415,0.315396784083966
time_of_day_Morning Rush,congestion_level_Severe,0.16470733210104743,0.24995686999383857,0.09673444239063463,0.5873110878348048,2.3496497129656086,1.0,0.05556471319362112,1.8174540383724356,0.6876687281668786,0.3042635658914729,0.4497797584496173,0.48715781171468103
"time_of_day_Morning Rush, weather_bucket_Clouds",congestion_level_Severe,0.05459026494146642,0.24995686999383857,0.03186691312384473,0.5837471783295711,2.3353916151372855,1.0,0.018221701366941404,1.8018932027805288,0.604823780410601,0.11686550976138826,0.4450281523583724,0.35561841267099736
time_of_day_Midday,congestion_level_High,0.24884781269254466,0.25003080714725817,0.1449414664202095,0.5824502327423988,2.3295138682624774,1.0,0.08272184695586283,1.7961192932244157,0.7598006055731028,0.4095118724322819,0.443244107575512,0.5810723317482325
"time_of_day_Midday, weather_bucket_Clear",congestion_level_High,0.07139864448552063,0.25003080714725817,0.0415033887861984,0.5812909906800139,2.324877471349587,1.0,0.023651528076263542,1.791146538907167,0.6136861653927347,0.14826553970769504,0.44169838800005135,0.3736420453646496
"time_of_day_Morning Rush, weather_bucket_Clear",congestion_level_Severe,0.05015403573629082,0.24995686999383857,0.02895871842267406,0.5773955773955773,2.3099808275316063,1.0,0.016422372632471684,1.77481135995644,0.5970399364020803,0.10679876386111616,0.43655983809764237,0.3466252191848721
"time_of_day_Morning Rush, weather_bucket_Precipitation",congestion_level_Severe,0.031028958718422674,0.24995686999383857,0.0177449168207024,0.5718824463860206,2.2879244983349225,1.0,0.009989015420277442,1.7519560309420354,0.5809488786018697,0.06740941859376462,0.42920941944970215,0.3214371805978614
"time_of_day_Midday, weather_bucket_Precipitation, weekday_type_Weekday",congestion_level_High,0.034183610597658655,0.25003080714725817,0.019199014171287738,0.5616438356164384,2.24629853426683,1.0,0.010652058422347576,1.7108672211953175,0.5744603250870725,0.07244489909792615,0.4155011051638839,0.31921521499895356
"time_of_day_Midday, weather_bucket_Clouds",congestion_level_High,0.11090573012939002,0.25003080714725817,0.06213185459026494,0.5602222222222222,2.240612781337276,1.0,0.034402005368757566,1.705336719473137,0.6227613205003129,0.20793467502474428,0.41360554277576944,0.40435950933683806
"time_of_day_Evening Rush, weather_bucket_Clouds, weekday_type_Weekday",congestion_level_Severe,0.056487985212569314,0.24995686999383857,0.029525569932224275,0.5226876090750436,2.091111194855048,1.0,0.015406009956232211,1.5713883491536764,0.5530245992883942,0.10662157351370595,0.3636200748601812,0.32040513366392687
"time_of_day_Midday, weather_bucket_Clouds, weekday_type_Weekday",congestion_level_Severe,0.07896487985212569,0.24995686999383857,0.04108441158348737,0.5202871410736579,2.081507666048479,1.0,0.021346597376210506,1.5635251714637222,0.5641250653297132,0.14273482318691671,0.36041963490499357,0.3423265719172273
"time_of_day_Midday, weather_bucket_Clear, weekday_type_Weekday",congestion_level_Severe,0.04971041281577326,0.24995686999383857,0.025089340727048676,0.5047099652949926,2.0191882115799964,1.0,0.012663881533516394,1.5143513445669945,0.5311554221227308,0.09137420339287318,0.33965126152020253,0.3025423224226886
"time_of_day_Evening Rush, weekday_type_Weekday",congestion_level_Severe,0.11874306839186691,0.24995686999383857,0.05870609981515711,0.4943960149439601,1.9779252914958767,1.0,0.029025454106461755,1.4834596881648956,0.561039253979193,0.18937827953569725,0.3259001185013368,0.36463046655302916
"time_of_day_Midday, weekday_type_Weekday",congestion_level_High,0.1775723967960567,0.25003080714725817,0.08751694393099199,0.49285218598195696,1.9711658399426222,1.0,0.04311837423300074,1.4787980389994542,0.5990630807379131,0.2573374882237843,0.3237751378974007,0.42143841433154033
"time_of_day_Evening Rush, weather_bucket_Clear, weekday_type_Weekday",congestion_level_Severe,0.0322365988909427,0.24995686999383857,0.01569932224276032,0.48700305810397554,1.9483483615232506,1.0,0.007641562884733435,1.4620810939613398,0.5029584322665753,0.05891057060945159,0.31604340954124827,0.274905591367113
"time_of_day_Evening Rush, weather_bucket_Clear",congestion_level_High,0.04692544670363524,0.25003080714725817,0.02279728897104128,0.48581932773109243,1.9430378731088294,1.0,0.011064481655985716,1.4585713413601846,0.5092382237684919,0.08315354189140596,0.3143976083696705,0.2884986239444028
"time_of_day_Midday, weekday_type_Weekday",congestion_level_Severe,0.1775723967960567,0.24995686999383857,0.08576709796672828,0.48299791811242193,1.9323250372127312,1.0,0.04138165746628202,1.45075456421326,0.5866640660790372,0.25095550587726256,0.3107035299645622,0.413062753179658
"time_of_day_Midday, weather_bucket_Clear, weekday_type_Weekday",congestion_level_High,0.04971041281577326,0.25003080714725817,0.02388170055452865,0.4804164600892415,1.9214290653643147,1.0,0.011452565914577457,1.4434044484579969,0.5046398946200412,0.08657196462074511,0.307193488929378,0.28796574606236347
time_of_day_Evening Rush,congestion_level_High,0.1660135551447936,0.25003080714725817,0.07551447935921134,0.4548693586698337,1.8192532506681618,1.0,0.03400597616897274,1.375760480135095,0.5399655116992714,0.22175580806253167,0.27312928780902074,0.3784450292609888
"time_of_day_Midday, weather_bucket_Clouds, weekday_type_Weekday",congestion_level_High,0.07896487985212569,0.25003080714725817,0.03581022797288971,0.45349563046192265,1.8137590148834413,1.0,0.016066575327176463,1.3723022809252914,0.48712457294939054,0.12214189643577673,0.271297574958676,0.29835944657645175
"time_of_day_Evening Rush, weather_bucket_Precipitation, weekday_type_Weekday",congestion_level_Severe,0.02338878619839803,0.24995686999383857,0.010499075785582256,0.4488935721812434,1.7958841146967022,1.0,0.0046528879944755935,1.3609769223247559,0.4537846707086849,0.03994374120956399,0.26523368354266597,0.24544856088849196
"time_of_day_Evening Rush, weather_bucket_Clouds",congestion_level_High,0.07756007393715342,0.25003080714725817,0.034553296364756625,0.4455036542739117,1.7817950490058123,1.0,0.015160888475849135,1.352523237769386,0.4756604863935047,0.11791421362489488,0.2606411689833706,0.2918499050078282
"time_of_day_Evening Rush, weather_bucket_Precipitation",congestion_level_High,0.031719038817005545,0.25003080714725817,0.01392483056069008,0.43900543900543904,1.7558053906008564,1.0,0.005994093683338971,1.3368564421073112,0.44456187392218666,0.05199227017576148,0.2519765260481659,0.2473489491725076
"weather_bucket_Clouds, weekday_type_Weekend",congestion_level_High,0.10442390634627234,0.25003080714725817,0.04581638940234134,0.4387538352607977,1.754799099626108,1.0,0.01970719581311317,1.3362571362981779,0.4802877152652974,0.14844685778168168,0.2516410406081783,0.3109984060483387
"time_of_day_Midday, weather_bucket_Precipitation, weekday_type_Weekday",congestion_level_Severe,0.034183610597658655,0.24995686999383857,0.014023413431916204,0.4102379235760635,1.641234840179331,1.0,0.005478985121837237,1.271772397699934,0.4045310039854745,0.05191605839416059,0.21369578250907817,0.23317062812603212
"weather_bucket_LowVisibility, weekday_type_Weekend",congestion_level_Low,0.027578558225508316,0.25000616142945165,0.011164510166358596,0.4048257372654156,1.6192630411616953,1.0,0.004269700686640633,1.260124782823489,0.3932812407684913,0.041905642923219244,0.20642779696836244,0.22474133866425355
"time_of_day_Midday, weather_bucket_Clouds",congestion_level_Severe,0.11090573012939002,0.24995686999383857,0.04436229205175601,0.39999999999999997,1.6002760796687043,1.0,0.01664064288423232,1.2500718833436022,0.4218988218988219,0.1401650833203551,0.2000460026944435,0.28873989351212775
